heztcmzwg4ge,91.0352
heztcmzzgyge,135.4954
heztcnbrhage,0.9187
heztcmrxgige,332.0652
heztcmjwguge,118.2380
heztcmjzgqge,5639.9463
heztaobrhage,412.3873
heztanrtgyge,15144.3257
heztanbvgqge,1901.1000
heztanbrhage,10.4012
heztanbshage,14.0002
heztanbshege,0.2102
heztamrthage,0.4002
heztamjvgege,2.2006
hezdsnzugege,4.7582
hezdsnrvgyge,4746.0885
hezdsnbzgyge,105.2242
hezdsnjrgmge,161.1126
hezdsnjrhege,300.0255
hezdsmzwguge,28.2469
hezdsmzyg4ge,168.0474
hezdsmzqgqge,21.9895
hezdsmrrhage,1999.4011
hezdsmrtg4ge,50.1878
hezdsmjuhage,195.0010
hezdsmjwguge,163.5661
hezdsmjzgege,2000.0009
hezdqojygqge,117.7012
hezdqnzyhage,15.9965
hezdqnrsgyge,27.9133
hezdqnrxgege,3680.8879
hezdqnjqgage,400.0309
hezdqnbugige,0.2059
hezdqmrxgege,1.0001
hezdqmrugege,604.8482
hezdqmrvhage,45.0005
hezdqmjwgqge,1440.4089
hezdonztgmge,2.4005
hezdonzqhage,41.7594
hezdonrugmge,104.0007
hezdonjtgqge,30.1371
hezdonbwgage,300.7766
hezdomzvgyge,6502.1588
hezdomrsgmge,79.4482
hezdomjrgage,12432.1233
hezdombwg4ge,210.6716
hezdombzgmge,23.0004
hezdmojshege,50000.0015
hezdmobwg4ge,509.9040
hezdmnjwgige,2500.0016
hezdmnjxgqge,2500.0015
hezdmnrqg4ge,2500.0013
hezdmnjsgmge,212.6876
hezdmnbzguge,2000.0015
hezdmmzrgyge,395.1804
hezdmmjwhage,9.8199
hezdmmrrgqge,1117.9880
hezdmmbsgege,5480.5284
hezdkobzhage,240.2725
hezdkojthege,34163.6410
hezdkobvguge,67.1050
hezdknrzgqge,2.8538
hezdknrrgige,245.8955
hezdkmjxhage,88.5637
hezdkmbxg4ge,496.4572
hezdkmbqhege,20.0804
hezdkmbtgmge,47.6575
hezdiojyhage,130.7355
hezdiojzgige,2.2003
hezdinzzgyge,156.5811
hezdinzwgqge,270.6411
hezdinzxgmge,12.5113
hezdinryhege,220.0212
hezdinrugqge,206.5954
hezdinjyhege,139.8629
hezdinbwgqge,801.7510
hezdinbxgage,680.0000
hezdimrygyge,195.9843
hezdimjuhege,890.1782
hezdimjrg4ge,2713.8966
hezdimjshage,11182.8796
hezdimbug4ge,328.0464
hezdgojwhage,471.6667
hezdgojtgege,330.7298
hezdgnzxg4ge,164.4912
hezdgnzsgyge,213.5128
hezdgmjshege,20000.2013
hezdgmbwhege,10000.0011
hezdgmbxg4ge,40.5636
hezdgmbuhage,423397.3864
hezdeojtgyge,87.7134
hezdeojuhege,68.0015
hezdeobxg4ge,9038.6107
hezdeobygege,999.8014
hezdeobrgege,2593.0680
hezdenzqhege,6385.4911
hezdenzvg4ge,29.0805
hezdenrvhege,308.6094
hezdenrwgqge,109.8754
hezdenrxgyge,50000.0012
hezdenrygage,40311.2503
hezdenbxgege,120.0003
hezdemztgmge,10.0003
hezdemrwhage,5000.0008
hezdemjyg4ge,1150.1464
hezdemjqgmge,24.6918
hezdemjqhage,4.9003
hezdembsg4ge,9520.9568
hezdcojvgmge,60010.0012
hezdcojzgyge,1.3322
hezdcnzugige,39990.0014
hezdcnzwhage,39990.0004
hezdcnzzgmge,39990.0014
hezdcnzzhage,40055.4680
hezdcobqguge,23798.2692
hezdcnrvgege,1104.5347
